X (units),Y (units),Z (units)
0,0,0
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,0,10.5651
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
-300,0,-423.831562
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,-120,-9.636482
0,0,9.636482
0,0,10.5651
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
0,0,29.065623
0,0,31.866526
0,0,34.937338
0,0,38.304069
0,0,41.995234
0,0,46.042097
0,120,-403.62998
0,0,11.583204
0,0,12.699417
0,0,13.923195
0,0,15.264901
0,0,16.7359
0,0,18.348652
0,0,20.116817
0,0,22.05537
0,0,24.180732
0,0,26.510904
